Type,BodyPart,Equipment,Level,Title
4,13,9,2,132
4,13,2,2,1030
4,11,1,2,70
4,13,1,2,1744
4,0,2,2,919
4,7,2,2,1074
4,0,3,2,2397
6,6,11,2,713
4,13,9,2,1854
4,3,4,0,1654
1,8,1,0,546
5,14,2,2,2317
4,14,4,2,267
4,0,8,2,1714
4,13,11,0,2880
4,0,3,0,503
4,3,5,2,2570
4,4,9,2,130
4,8,4,2,121
4,13,2,2,2246
4,0,2,2,1544
4,16,3,2,213
2,13,4,2,725
4,5,0,2,2704
5,16,2,2,2753
0,13,11,2,2125
4,0,2,2,2151
4,0,2,2,1232
4,13,1,1,372
4,8,9,2,1809
4,0,2,2,838
4,0,2,2,822
4,2,2,2,1094
4,0,2,2,2700
4,13,2,2,1079
4,3,4,0,2064
5,7,2,2,1866
5,4,2,2,2258
1,15,1,0,2514
4,13,2,2,1509
4,9,9,2,2206
4,13,6,0,457
4,5,2,0,553
4,0,1,2,2287
4,4,1,0,2592
4,3,4,2,24
4,0,2,2,1491
4,13,2,2,1408
4,0,2,2,108
4,7,2,2,1373
4,13,2,2,2863
5,8,2,2,2900
4,14,4,2,2273
4,9,8,2,2337
4,8,8,0,1717
4,0,2,2,1066
4,13,2,2,1075
2,13,2,2,2644
4,7,2,0,990
4,13,4,2,1599
4,0,2,2,1228
5,0,2,2,1832
4,5,3,2,103
4,14,4,2,2424
4,0,1,2,378
4,8,2,2,2143
4,0,2,2,581
4,0,2,2,176
5,7,2,0,2267
4,0,11,2,2321
3,8,0,0,291
6,13,11,2,398
4,0,11,2,1621
4,14,1,2,2053
4,16,1,2,217
4,14,1,2,144
4,14,4,2,2263
4,8,9,2,2449
4,0,11,2,2886
4,11,9,2,64
4,6,1,2,2063
0,13,2,2,470
4,14,9,2,158
4,16,3,2,10
0,13,2,2,2745
4,11,4,2,732
5,2,2,0,1005
4,10,3,2,2291
4,11,4,2,1008
4,0,2,2,1973
3,8,1,0,2648
4,4,9,2,2256
4,13,1,2,332
4,7,2,2,1466
4,11,3,2,2254
4,0,2,2,1858
4,14,1,2,1883
4,11,4,2,48
4,3,4,2,36
4,13,2,2,943
4,9,1,2,2184
4,13,2,2,2617
4,14,4,2,1650
4,14,4,2,165
4,0,2,2,805
4,0,4,2,1594
4,14,2,2,1073
4,5,3,2,2399
4,0,2,2,2810
4,0,2,2,1957
4,13,1,0,464
4,13,1,2,2088
4,0,2,2,1258
4,13,8,2,2350
4,14,11,2,525
4,16,2,2,405
4,14,11,0,2466
4,13,2,2,1347
4,14,3,2,2296
4,0,2,2,2239
4,3,4,0,435
4,9,1,2,424
4,0,2,2,1317
4,13,2,2,1239
4,4,9,2,1171
4,0,2,2,1103
4,10,2,2,1047
4,14,4,2,1520
4,11,1,2,379
4,0,2,2,201
4,0,2,2,1
4,5,9,0,1815
4,0,2,2,1970
4,0,2,2,1582
4,13,2,2,2536
4,0,2,2,415
4,5,3,2,2031
4,0,2,2,1783
4,0,2,2,1238
4,16,3,2,498
4,3,4,2,1933
4,13,8,2,827
4,6,4,0,2062
4,6,4,0,2278
4,11,1,2,2102
4,13,4,2,120
